Title,Abstract Note,Publication Year,Source,Item Type,DOI
"Deep Learning for Pediatric Pneumonia Classification on Chest X-Rays","We evaluate convolutional neural networks and vision transformers for detecting pediatric pneumonia on chest radiographs. Results demonstrate high sensitivity with ResNet architectures.",2023,"IEEE Transactions on Medical Imaging","journalArticle","10.1109/TMI.2023.001"
"Chest Radiography Diagnosis using Vision Transformers","Vision transformers applied to chest x-ray datasets provide robust attention maps for identifying bacterial and viral pneumonia patterns.",2024,"Nature Medicine","journalArticle","10.1038/s41591-024-002"
"Multicenter Clinical Validation of AI in Radiography","External clinical validation of automated radiographic diagnostic models across three tertiary hospitals shows generalizability challenges.",2022,"The Lancet Digital Health","journalArticle","10.1016/S2589-7500(22)003"
"Lung Ultrasound versus Chest Radiography for Pneumonia","Comparative analysis between point of care ultrasound and conventional radiography for emergency respiratory evaluation.",2021,"European Respiratory Journal","journalArticle","10.1183/13993003.004"
"Computed Tomography Features of COVID-19 and Atypical Pneumonia","High resolution computed tomography imaging findings differentiated viral pneumonia from COVID-19 lung consolidations.",2020,"Radiology","journalArticle","10.1148/radiol.20202005"
"Self-Supervised Learning for Chest X-Ray Screening","Self-supervised pre-training with contrastive objectives improves representation quality on small clinical radiology cohorts.",2023,"CVPR","conferencePaper","10.1109/CVPR.2023.006"
"Explainable AI for Radiologists using Grad-CAM and SHAP","We incorporate Grad-CAM and Shapley values to highlight pulmonary opacities and improve clinician trust in deep learning models.",2022,"Artificial Intelligence in Medicine","journalArticle","10.1016/j.artmed.2022.007"
"Federated Learning across Heterogeneous Hospital Systems","Collaborative model training without centralizing patient radiological scans preserves privacy while improving diagnostic accuracy.",2023,"JAMA Network Open","journalArticle","10.1001/jamanetworkopen.2023.008"
"Transformer Architectures for Lung Segmentation and Diagnosis","A dual-stage vision transformer performs both anatomical lung field segmentation and consolidation classification.",2024,"Medical Image Analysis","journalArticle","10.1016/j.media.2024.009"
"Data Imbalance Mitigation in Medical Chest X-Ray Datasets","Addressing severe label skew in rare pulmonary disease classification through synthetic data augmentation and focal loss.",2021,"MICCAI","conferencePaper","10.1007/978-3-030-87199-4_10"
"Diagnostic Accuracy of Deep Neural Networks for Neonatal Respiratory Distress","Evaluation of residual neural networks in low resource pediatric clinical environments for early pneumonia detection.",2022,"Pediatrics","journalArticle","10.1542/peds.2022.011"
"Ensemble Deep Learning for Multiclass Pulmonary Disease Classification","Combining ensemble convolutional classifiers with attention mechanisms to distinguish between tuberculosis, pneumonia and normal scans.",2023,"IEEE Access","journalArticle","10.1109/ACCESS.2023.012"
